fid,CODIGO,nombre,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INST,altitud,latitud,longitud,DEPARTAMEN,MUNICIPIO,AREA_OPERA,AREA_HIDRO,ZONA_HIDRO,observacio,CORRIENTE,FECHA_SUSP,SUBZONA_HI,ENTIDAD,subred
"2","25027640",TRES CRUCES [25027640],LM,TEST003,ESTA001,1974/09/15,31,8.70308333,-74.51730556,13,13006,1,2,25,,58,,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"3","25028210",CNO VIDE [25028210],LM,TEST003,ESTA002,1974/09/15,21,8.78333333,-74.33333333,13,13549,2,2,25,,621,1981/07/15,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"4","25027400",ALTO DEL ROSARIO [25027400],LM,TEST003,ESTA001,1973/07/15,24,8.79444444,-74.16027778,13,13030,2,2,25,,608,,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"5","25028220",NO TE PASES HACIENDA [25028220],LM,TEST003,ESTA002,1978/06/15,21,8.8,-74.33333333,13,13549,2,2,25,,618,1981/07/15,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"6","25028230",PUERTO CARMEN [25028230],LM,TEST003,ESTA002,1976/06/15,22,8.81666667,-74.31666667,13,13549,2,2,25,,618,1981/07/15,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"7","25027390",PALOMAS LAS [25027390],LM,TEST003,ESTA001,1973/07/15,24,8.83055556,-74.17055556,13,13030,2,2,25,,171,,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"Atlántico, Magdalena y Norte de Bolívar,RED ALERTAS - AREA OPERATIVA 02,"
"8","25028240",NUEVO HORIZONTE [25028240],LM,TEST003,ESTA002,1979/09/15,21,8.86666667,-74.35,13,13549,2,2,25,,475,1981/07/15,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"9","25027990",CONTENTO EL [25027990],LM,TEST003,ESTA002,1974/09/15,20,8.88333333,-74.45,13,13549,2,2,25,,476,1981/07/15,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"10","25028410",MANTEQUERA [25028410],LM,TEST003,ESTA002,1974/09/15,20,8.88333333,-74.45,13,13549,2,2,25,,560,1981/07/15,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"11","25027280",CANDELARIA LA [25027280],LM,TEST003,ESTA002,1966/11/15,22,8.23333333,-74.71666667,13,13655,1,2,25,,58,1969/05/15,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"12","25028350",MANCHA LA [25028350],LM,TEST003,ESTA002,1979/09/15,30,8.26666667,-74.58333333,13,13655,1,2,25,,1091,1999/07/15,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"13","25027880",GALINDO [25027880],LM,TEST003,ESTA002,1975/04/15,33,8.3,-74.58333333,13,13655,1,2,25,,58,2002/05/15,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"26","25027260",BUENAVISTA [25027260],LM,TEST003,ESTA002,1967/04/14,20,8.56666667,-74.55,13,13006,2,2,26,Cambio Nombre por error en migración,58,2019/01/21,2626,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"27","23147030",TENERIFE DELICIAS [23147030],LM,TEST003,ESTA002,1974/08/15,170,6.86666667,-73.76666667,68,68081,8,2,23,,211,1993/08/15,2314,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"30","24067020",PUENTE SOGAMOSO - AUT [24067020],LM,TEST001,ESTA001,1992/08/14,90,7.24416667,-73.7875,68,68575,8,2,24,Solicitado con  REQ 2019-002400 por mesa de servicio,329,,2405,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"Magdalena Medio,RED ALERTAS - AREA OPERATIVA 08,"
"31","21117110",MOTILON  - AUT [21117110],LM,TEST001,ESTA002,1983/06/14,1440,2.80558333,-75.08555556,41,41615,4,2,21,Cambio de tecnología por instalación o repotenciación de estaciones proyecto Fondo de Adaptación,193,2019/05/23,2111,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"32","23187120",BADILLO [23187120],LM,TEST003,ESTA001,1974/08/15,49,7.97561111,-73.85675,68,68575,8,2,23,,171,,2319,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"Magdalena Medio,RED ALERTAS - AREA OPERATIVA 08,"
"33","25028040",INSP FLUVIAL CAUCA [25028040],LM,TEST003,ESTA002,1992/11/15,70,7.98333333,-75.2,5,5154,1,2,25,,58,2002/05/15,2502,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"34","23187180",DESEO EL [23187180],LM,TEST003,ESTA002,1979/06/15,60,7.98333333,-73.85,13,13744,8,2,23,,171,1979/11/15,2319,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"35","23187260",CHORRO EL [23187260],LM,TEST003,ESTA002,1979/04/15,60,7.98333333,-73.85,68,68575,8,2,23,,171,1979/05/15,2319,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"36","26177070",PUENTE CARRETERA [26177070],LM,TEST003,ESTA002,1978/03/15,605,5.75,-75.63333333,5,5789,1,2,26,,55,1978/04/15,2617,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"37","24037460",CAMBULOS LOS [24037460],LM,TEST003,ESTA002,1969/10/15,2500,5.75,-72.93333333,15,15759,6,2,24,,49,2002/02/15,2403,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"38","24037330",VERTEDERO PAIPA [24037330],LM,TEST003,ESTA002,1971/05/15,2500,5.76666667,-73.11666667,15,15516,6,2,24,,328,1978/03/15,2403,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"39","28017080",CORRAL DE PIEDRA [28017080],LM,TEST003,ESTA001,1970/03/15,275,10.81891667,-73.05508333,44,44650,5,2,28,,548,,2801,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"41","23197350",CNO GRANDE [23197350],LM,TEST003,ESTA002,1971/10/15,770,7.63333333,-73.58333333,68,68615,8,2,23,,164,1981/07/15,2319,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"42","23197410",HOYO EL [23197410],LM,TEST003,ESTA001,1974/08/15,77,7.68472222,-73.50888889,20,20710,8,2,23,,1019,,2319,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"43","23187190",EDEN EL [23187190],LM,TEST003,ESTA002,1979/04/15,61,7.7,-73.83333333,13,13670,8,2,23,,171,1979/05/15,2320,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"44","23187200",FE LA [23187200],LM,TEST003,ESTA002,1979/05/15,77,7.7,-73.81666667,68,68575,8,2,23,,171,1979/09/15,2319,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"45","23187210",NO HAY COMO DIOS [23187210],LM,TEST003,ESTA002,1979/08/15,79,7.7,-73.8,68,68575,8,2,23,,474,1979/09/15,2319,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"46","23197360",VEINTE DE JULIO [23197360],LM,TEST003,ESTA002,1974/09/15,71,7.7,-73.56666667,54,54385,8,2,23,,483,1996/02/15,2319,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"47","25027420",VICTORIA LA [25027420],LM,TEST003,ESTA001,1973/07/15,24,8.965,-74.22083333,13,13440,2,2,29,,622,,2907,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"Atlántico, Magdalena y Norte de Bolívar,RED ALERTAS - AREA OPERATIVA 02,"
"48","25028370",GUAYABAL [25028370],LM,TEST003,ESTA002,1974/09/15,17,8.95,-74.16666667,13,13074,2,2,29,,622,1981/07/15,2907,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"50","25027330",PENONCITO [25027330],LM,TEST003,ESTA001,1972/09/15,28,8.98972222,-73.94722222,13,13268,2,2,29,,171,,2907,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"Magdalena Medio,RED ALERTAS - AREA OPERATIVA 02,"
"51","25027570",PALENQUITO [25027570],LM,TEST003,ESTA001,1974/03/15,19,8.9985,-74.46169444,13,13549,2,2,29,,574,,2907,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"Atlántico, Magdalena y Norte de Bolívar,RED ALERTAS - AREA OPERATIVA 02,"
"53","25028290",NUEVO PORVENIR [25028290],LM,TEST003,ESTA002,1979/09/15,24,8.96666667,-74.23333333,13,13440,2,2,29,,614,1981/07/15,2907,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"54","25028200",PUERTO LOPEZ [25028200],LM,TEST003,ESTA002,1976/06/15,21,8.98333333,-74.38333333,13,13549,2,2,29,,618,1981/07/15,2907,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"55","25028310",SAN MIGUEL [25028310],LM,TEST003,ESTA002,1978/06/15,27,9,-73.98333333,47,47245,2,2,29,,475,1981/07/15,2907,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"56","25028330",LADRILLERAS [25028330],LM,TEST003,ESTA002,1979/09/15,28,9,-73.96666667,47,47245,2,2,28,,548,1981/07/15,2805,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"61","25028150",ILUSION LA [25028150],LM,TEST003,ESTA002,1974/05/15,20,9.01666667,-74.43333333,13,13549,2,2,29,,622,1981/07/15,2907,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"62","25028320",SALTO EL [25028320],LM,TEST003,ESTA002,1976/07/15,27,9.01666667,-74,47,47245,2,2,29,,477,1981/07/15,2907,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"63","15067080",MAGUEYES LOS [15067080],LM,TEST003,ESTA001,1980/07/15,140,10.94672222,-72.77227778,44,44078,5,1,15,,423,,1506,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"RED ALERTAS - AREA OPERATIVA 05,"
"64","15067290",PORCIOSA [15067290],LM,TEST003,ESTA001,2012/10/31,88,11.23216944,-72.513975,44,44035,5,1,15,Solicitado mediante correo electrónico del área 05,803,,1506,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"65","23187280",SITIO NUEVO [23187280],LM,TEST003,ESTA001,1978/11/15,58,7.784,-73.80191667,68,68575,8,2,23,,171,,2319,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"Magdalena Medio,RED ALERTAS - AREA OPERATIVA 08,"
"72","25027850",BELEN [25027850],LM,TEST003,ESTA001,1973/09/15,36,9.06916667,-73.90305556,47,47245,2,2,28,,593,,2805,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"Magdalena Medio,RED ALERTAS - AREA OPERATIVA 02,"
"74","25027320",SAN ROQUE [25027320],LM,TEST003,ESTA001,1972/09/15,24,9.07,-74.16,13,13440,2,2,29,Estacion Homologada con SAN ROQUE ALERTAS [25021380]. Datos Transferidos desde 15/05/1980. Estación será movida a la red de Alertas.,747,,2907,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,"Atlántico, Magdalena y Norte de Bolívar,RED ALERTAS - AREA OPERATIVA 02,"
"79","25027550",ALGARROBAL [25027550],LM,TEST003,ESTA001,1973/09/15,25,9.13152778,-74.04427778,47,47245,2,2,29,,550,,2907,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
"82","15067140",CHANCLETA LA [15067140],LM,TEST003,ESTA002,1988/04/15,150,11.03333333,-72.63333333,44,44078,5,1,15,,414,1988/06/15,1506,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,
